,clip,fips_code,census_id,range,township,section,quarter_section,municipality_name,municipality_code,jurisdiction_county_code,town_code,tax_rate_area_code,tax_district_county,municipality_tax_district,school_district,fire_district,water_district,elementary_school_district_county_description,high_school_district_county_description,neighborhood_description,cbsa,cbsa_type,land_use_code,county_use_description,zoning_code,zoning_code_description,property_indicator_code,number_of_buildings,view_code,location_influence_code,lat,lon,owner_1_corporate_indicator,owner_2_corporate_indicator,owner_3_corporate_indicator,owner_4_corporate_indicator,owner_occupancy_code,total_value_calculated,land_value_calculated,improvement_value_calculated,calculated_value_source_code,assessed_total_value,assessed_land_value,assessed_improvement_value,market_total_value,market_land_value,market_improvement_value,appraised_total_value,appraised_land_value,appraised_improvement_value,tax_amount,tax_year,assessed_year,tax_total_rate_percent,taxable_improvement_value,taxable_land_value,taxable_other_value,net_taxable_amount,front_footage,depth_footage,acres,land_square_footage,year_built,effective_year_built,bedrooms_all_buildings,total_rooms_all_buildings,total_bathrooms_all_buildings,number_of_bathrooms,construction_type_code,number_of_parking_spaces,parking_type_code,building_quality_code,stories_code,stories_number,building_style_code,number_of_units,universal_building_square_feet,universal_building_square_feet_source_code,building_square_feet,living_square_feet_all_buildings,ground_floor_square_feet,building_gross_square_feet,adjusted_gross_square_feet,last_assessor_update_date,total_square_footage_open_areas,total_square_footage_all_buildings,total_number_of_1_bedrooms,total_number_of_2_bedrooms,total_number_of_3_bedrooms,total_number_of_efficiency_units,build_age,effective_build_age,adjustment_note
0,2403744830,6037,9203363003,,,,,,,,,9982,,,,,,NEWHALL,WILLIAM S HART UN,,31080,,165,MULTI-FAMILY 3-UNIT,SCUR3,,21,1,,,34.38651,-118.5367,,,,,A,138736,43599,95137,A,46245.3333333333,14533,31712.3333333333,,,,,,,3053.85,2015,2015,,95137,43599,,138736,,,0.1693,2459,1956,1956,2,,3,3,,,,,,,,3,2630,L,,876.666666666667,,,,2015-12-07,,,,,,,59,59,Original
1,8478579181,6037,2190202005,,,,,,,,,67,,,,,,,,,31080,,163,SINGLE FAMILY RESID,LAR1,,10,1,,,34.021096,-118.318589,,,,,O,267429,178502,88927,A,267429,178502,88927,,,,,,,3273.8,2015,2015,,,,,260429,40,140,0.1285,5597,1912,1912,2,,1,1,,,,,,1,,,1144,L,,1144,,,,2015-12-07,,,,,,,103,103,Original
2,4027884277,6037,6037043009,,,,,,,,,5178,,,,,,LAWNDALE,CENTINELLA VLY UN,,31080,,106,APARTMENT,LCR3YY,,22,4,,,33.89552,-118.3293,Y,,,,A,1352104,460943,891161,A,64385.9047619048,21949.6666666667,42436.2380952381,,,,,,,21061.2,2015,2015,,891161,460943,,1352104,,,0.9601,1991.57142857143,1962,1980,1,,21,10,FRM,6,OTP,QAV,,2,,21,6169,B,6169,669.47619047619,,,,2015-12-07,,14059,,,,,53,35,"Lower outlier, cap bedroom"
3,3182958729,6037,5545122003,,,,,,,,,2011,,,,,,,,,31080,,163,SINGLE FAMILY RESID,CERS5000,,10,1,,,33.87032,-118.0536,,,,,O,89927,20580,69347,A,89927,20580,69347,,,,,,,1250.42,2015,2015,,,,,82927,52,131,0.1461,6365,1971,1971,4,7,2,2,,2,OTP,QAV,,1,RAN,,1480,L,,1480,,,,2015-12-07,,,,,,,44,44,Original
4,7443349370,6037,9203222007,,,,,,,,,933,,,,,,NEWHALL,WILLIAM S HART UN,,31080,,163,SINGLE FAMILY RESID,SCUR2,,10,1,,,34.38424,-118.5477,,,,,O,447539,188805,258734,A,447539,188805,258734,,,,,,,6096.68,2015,2015,,,,,440539,70,95,0.1413,6153,1968,1968,4,7,3,3,,2,OTP,QAV,,2,CON,,2582,L,,2582,,,,2015-12-07,,,,,,,47,47,Original
5,1081652920,6037,4006042,,,,,,,,,,,,,,,,,,31080,,163,SINGLE FAMILY RESID,AZR1,,10,1,,,34.14278,-117.8988,,,,,O,335000,335000,,A,335000,335000,,,,,,,,11565.16,2015,2015,,,335000,,335000,,,0.1533,6676,,,4,,4,4,,,,,,,,1,3440,L,,3440,,,,2015-12-07,,,,,,,,,Original
6,3071808797,6059,863033012,,,,,,,,,1007,,,,,,ANAHEIM,ANAHEIM UN,,31080,,163,SINGLE FAM RESIDENCE,R-1,,10,1,,,33.81992,-117.8924,,,,,O,337516,237200,100316,A,337516,237200,100316,,,,,,,4064.74,2015,2015,,,,,330516,58,90,0.1281,5580,1969,,3,5,2,,,2,010,,,1,TRA,,1626,L,2086,1626,,,,2015-12-14,,2086,,,,,46,46,Original
7,5538530113,6059,320572018,,,,,,,,,82372,,,,,,,,,31080,,163,SINGLE FAM RESIDENCE,,,10,1,,,33.56924,-117.631958,,,,,O,1018723,476723,542000,A,1018723,476723,542000,,,,,,,14926.96,2015,2015,,,,,1011723,,,0.1354,5900,2000,,4,,3,,,,001,,,,,,3815,B,3815,3815,,,,2015-12-14,,3815,,,,,15,15,Original
8,1086488719,6037,5545142006,,,,,,,,,1986,,,,,,,,,31080,,163,SINGLE FAMILY RESID,CERS5000,,10,1,,ICR,33.8756,-118.0684,,,,,O,424012,313043,110969,A,424012,313043,110969,,,,,,,4872.65,2015,2015,,,,,417012,67,84,0.1238,5393,1968,1968,3,7,2,2,,2,OTP,QAV,,1,CNT,,1534,L,,1534,,,,2015-12-07,,,,,,,47,47,Original
9,1494835116,6037,5007002001,,,,,,,,,7978,,,,,,,,,31080,,163,SINGLE FAMILY RESID,PRSF*,,10,1,,,33.99691,-118.0897,,,,,O,289984,214804,75180,A,289984,214804,75180,,,,,,,3802.37,2015,2015,,,,,282984,51,111,0.1285,5599,1950,1969,3,4,2,2,,2,OTP,,,1,CON,,1208,L,,1208,,,,2015-12-07,,,,,,,65,46,Original
10,5379544641,6059,992412004,11,05,24,,,,,,4010,,,,,,OCEAN VIEW,HUNTINGTON BEACH UN,,31080,,133,MULTI FAM RESIDENCE,,,22,1,,,33.727852,-117.983572,Y,,,,A,19055768,8203485,10852283,A,98225.6082474227,42286.0051546392,55939.6030927835,,,,,,,248723.7,2015,2015,,10852283,8203485,,19055768,,,7.7,1728.92783505155,1977,,,,,,,,,,,2,,194,146747,L,146747,756.427835051546,,,,2015-12-14,,146747,,,,,38,38,Original
11,5352993809,6037,2348003001,,,,,,,,,212,,,,,,,,,31080,,163,SINGLE FAMILY RESID,LAR1,,10,1,,,33.98057,-118.3209,,,,,O,37074,19554,17520,A,37074,19554,17520,,,,,,,603.19,2015,2015,,17520,19554,,37074,40,120,0.1103,4803,1928,1929,3,6,1,1,,3,OTP,,,1,CON,1,1116,L,,1116,,,,2015-12-07,,,,,,,87,86,Original
12,3238913384,6037,4333051002,,,,,,,,,6549,,,,,,MOUNTAIN VIEW,EL MONTE UN,,31080,,106,APARTMENT,EMR3*,,22,1,,,34.070162,-118.01364,Y,,,,A,4180397,1967245,2213152,A,160784.5,75663.2692307692,85121.2307692308,,,,,,,51068.75,2015,2015,,,,,3536616,,,1.1908,1995,1972,1972,2,,34,34,,,,,,,,26,22628,B,22628,870.307692307692,,,,2015-12-07,,22628,,,,,43,43,Original
