,0
0,clip
1,fips_code
2,census_id
3,range
4,township
5,section
6,quarter_section
7,municipality_name
8,municipality_code
9,jurisdiction_county_code
10,town_code
11,tax_rate_area_code
12,tax_district_county
13,municipality_tax_district
14,school_district
15,fire_district
16,water_district
17,elementary_school_district_county_description
18,high_school_district_county_description
19,neighborhood_description
20,cbsa
21,cbsa_type
22,land_use_code
23,county_use_description
24,zoning_code
25,zoning_code_description
26,property_indicator_code
27,number_of_buildings
28,view_code
29,location_influence_code
30,lat
31,lon
32,owner_1_corporate_indicator
33,owner_2_corporate_indicator
34,owner_3_corporate_indicator
35,owner_4_corporate_indicator
36,owner_occupancy_code
37,total_value_calculated
38,land_value_calculated
39,improvement_value_calculated
40,calculated_value_source_code
41,assessed_total_value
42,assessed_land_value
43,assessed_improvement_value
44,market_total_value
45,market_land_value
46,market_improvement_value
47,appraised_total_value
48,appraised_land_value
49,appraised_improvement_value
50,tax_amount
51,tax_year
52,assessed_year
53,tax_total_rate_percent
54,taxable_improvement_value
55,taxable_land_value
56,taxable_other_value
57,net_taxable_amount
58,front_footage
59,depth_footage
60,acres
61,land_square_footage
62,year_built
63,effective_year_built
64,bedrooms_all_buildings
65,total_rooms_all_buildings
66,total_bathrooms_all_buildings
67,number_of_bathrooms
68,construction_type_code
69,number_of_parking_spaces
70,parking_type_code
71,building_quality_code
72,stories_code
73,stories_number
74,building_style_code
75,number_of_units
76,universal_building_square_feet
77,universal_building_square_feet_source_code
78,building_square_feet
79,living_square_feet_all_buildings
80,ground_floor_square_feet
81,building_gross_square_feet
82,adjusted_gross_square_feet
83,last_assessor_update_date
84,total_square_footage_open_areas
85,total_square_footage_all_buildings
86,total_number_of_1_bedrooms
87,total_number_of_2_bedrooms
88,total_number_of_3_bedrooms
89,total_number_of_efficiency_units
90,build_age
91,effective_build_age
92,adjustment_note
